,id,title,original_language,release_date,popularity,vote_average,vote_count
0,238,The Godfather,en,1972-03-14,142.327,8.7,18427
1,278,The Shawshank Redemption,en,1994-09-23,121.677,8.7,24348
2,240,The Godfather Part II,en,1974-12-20,77.212,8.6,11126
3,424,Schindler's List,en,1993-12-15,69.088,8.6,14404
4,19404,Dilwale Dulhania Le Jayenge,hi,1995-10-20,29.657,8.6,4215
5,129,Spirited Away,ja,2001-07-20,97.136,8.5,14711
6,389,12 Angry Men,en,1957-04-10,56.212,8.5,7517
7,372058,Your Name.,ja,2016-08-26,88.737,8.5,10146
8,496243,Parasite,ko,2019-05-30,88.165,8.5,16188
9,155,The Dark Knight,en,2008-07-14,106.912,8.5,30297
10,497,The Green Mile,en,1999-12-10,84.89,8.5,15743
11,680,Pulp Fiction,en,1994-09-10,73.343,8.5,25650
12,13,Forrest Gump,en,1994-06-23,282.141,8.5,25151
13,122,The Lord of the Rings: The Return of the King,en,2003-12-01,105.095,8.5,22026
14,429,"The Good, the Bad and the Ugly",it,1966-12-23,68.618,8.5,7625
15,930094,"Red, White & Royal Blue",en,2023-07-27,308.057,8.5,263
16,569094,Spider-Man: Across the Spider-Verse,en,2023-05-31,4838.672,8.5,3259
17,769,GoodFellas,en,1990-09-12,121.059,8.5,11563
18,11216,Cinema Paradiso,it,1988-11-17,28.56,8.5,3888
19,637,Life Is Beautiful,it,1997-12-20,40.816,8.5,12103
20,696374,Gabriel's Inferno,en,2020-05-29,17.212,8.5,2350
21,346,Seven Samurai,ja,1954-04-26,54.633,8.5,3169
22,12477,Grave of the Fireflies,ja,1988-04-16,0.6,8.5,4774
23,772071,Cuando Sea Joven,es,2022-09-14,18.196,8.4,255
24,667257,Impossible Things,es,2021-06-17,15.684,8.4,348
25,539,Psycho,en,1960-06-22,91.422,8.4,9139
26,550,Fight Club,en,1999-10-15,74.076,8.4,26946
27,620249,The Legend of Hei,zh,2019-08-27,17.316,8.4,299
28,372754,Dou kyu sei – Classmates,ja,2016-02-20,15.124,8.4,315
29,311,Once Upon a Time in America,en,1984-05-23,38.694,8.4,4781
30,704264,Primal: Tales of Savagery,en,2019-11-21,25.791,8.4,282
31,598,City of God,pt,2002-08-30,46.176,8.4,6613
32,724089,Gabriel's Inferno: Part II,en,2020-07-31,25.328,8.4,1481
33,510,One Flew Over the Cuckoo's Nest,en,1975-11-19,51.076,8.4,9541
34,14537,Harakiri,ja,1962-09-15,20.15,8.4,812
35,157336,Interstellar,en,2014-11-05,160.628,8.4,32142
36,820067,The Quintessential Quintuplets Movie,ja,2022-05-20,86.367,8.4,316
37,761053,Gabriel's Inferno: Part III,en,2020-11-19,29.014,8.4,1023
38,324857,Spider-Man: Into the Spider-Verse,en,2018-12-06,233.43,8.4,13759
39,40096,A Dog's Will,pt,2000-09-15,11.822,8.4,1001
40,378064,A Silent Voice: The Movie,ja,2016-09-17,46.93,8.4,3503
41,4935,Howl's Moving Castle,ja,2004-09-09,90.627,8.4,8548
42,120,The Lord of the Rings: The Fellowship of the Ring,en,2001-12-18,122.383,8.4,23087
43,1891,The Empire Strikes Back,en,1980-05-20,27.387,8.4,15623
44,255709,Hope,ko,2013-10-02,29.764,8.4,558
45,121,The Lord of the Rings: The Two Towers,en,2002-12-18,95.72,8.4,20069
46,423,The Pianist,en,2002-09-17,38.534,8.4,8249
47,244786,Whiplash,en,2014-10-10,53.219,8.4,13734
48,92321,Hotarubi no Mori e,ja,2011-09-17,0.6,8.4,974
49,807,Se7en,en,1995-09-22,70.3,8.4,19192
50,27205,Inception,en,2010-07-15,136.023,8.4,34231
51,995133,"The Boy, the Mole, the Fox and the Horse",en,2022-12-25,21.771,8.4,376
52,567,Rear Window,en,1954-08-01,35.215,8.4,5812
53,18491,Neon Genesis Evangelion: The End of Evangelion,ja,1997-07-19,41.441,8.4,1341
54,73,American History X,en,1998-07-01,38.175,8.4,10598
55,599,Sunset Boulevard,en,1950-08-10,18.433,8.4,2279
56,12493,High and Low,ja,1963-03-01,10.41,8.3,725
57,274,The Silence of the Lambs,en,1991-02-14,12.244,8.3,14825
58,652837,"Josee, the Tiger and the Fish",ja,2020-12-25,24.624,8.3,357
59,128,Princess Mononoke,ja,1997-07-12,57.404,8.3,7124
60,3782,Ikiru,ja,1952-10-09,16.392,8.3,958
61,914,The Great Dictator,en,1940-10-15,23.225,8.3,3002
62,533514,Violet Evergarden: The Movie,ja,2020-09-18,38.844,8.3,333
63,15804,A Brighter Summer Day,zh,1991-07-27,17.732,8.3,262
64,644479,Dedicated to my ex,es,2019-11-01,7.871,8.3,487
65,101,Léon: The Professional,en,1994-09-14,48.697,8.3,13513
