,Name,Rating,Cuisine,Avg Rate,Area,Zone
0,Moti Mahal Delux Restaurant,4.4," North Indian, Mughlai, Biryani",₹ 900 for 2 (approx) ,Sitabuldi, Central Nagpur
1,Corridor Seven Coffee Roaster,5," Desserts, Continental",₹ 800 for 2 (approx) ,Sitabuldi, Central Nagpur
2,Jagat Restaurant,5," North Indian, Chinese, Pizza, Street Food",₹ 600 for 2 (approx) ,Sitabuldi, Central Nagpur
3,Kalpataru,3.9," North Indian, Asian, Desserts","₹ 1,600 for 2 (approx) ","Hotel Hardeo,Sitabuldi", Central Nagpur
4,Side Walk,3.8," North Indian, Continental, Chinese","₹ 1,900 for 2 (approx) ","Hotel Hardeo,Sitabuldi", Central Nagpur
5,Barbeque Nation,4.3," North Indian, Chinese","₹ 2,000 for 2 (approx) ","Eternity Mall,Sitabuldi", Central Nagpur
6,Ice Lounge,3.6, Fast Food,"₹ 2,000 for 2 (approx) ","Hotel Hardeo,Sitabuldi", Central Nagpur
7,Robo 2.0,4.3," North Indian, Chinese",₹ 800 for 2 (approx) ,"Eternity Mall,Sitabuldi", Central Nagpur
8,High Steak,4.2," North Indian, Continental, Chinese","₹ 1,200 for 2 (approx) ","Hotel Centre Point,Ramdaspeth", West Nagpur
9,Hotel Brijinn,4.3," North Indian, Fast Food",₹ 600 for 2 (approx) ,Gandhibagh, East Nagpur
10,D9 Restro Lounge,3.6," North Indian, Mughlai, Chinese",₹ 500 for 2 (approx) ,Sitabuldi, Central Nagpur
11,TAO - Asian Kitchen,5," Asian, Sushi","₹ 1,900 for 2 (approx) ",Civil Lines, West Nagpur
12,TDS Restro Lounge,4.2," North Indian, Chinese, Continental","₹ 2,100 for 2 (approx) ","Milestone Building,Ramdaspeth", West Nagpur
13,The Frontier Post,5," Mughlai, North Indian","₹ 1,600 for 2 (approx) ","Tuli International,Sadar", West Nagpur
14,The Treat,4.2," Chinese, North Indian",₹ 800 for 2 (approx) ,Gandhibagh, East Nagpur
15,AU 79,3," Chinese, North Indian, Continental, Mughlai","₹ 1,200 for 2 (approx) ","Hotel Gangakashi,Sitabuldi", Central Nagpur
16,Esco Cafe - Lounge & Bar,5," Continental, North Indian, Desserts",₹ 900 for 2 (approx) ,Sitabuldi, Central Nagpur
17,Dessertz & More,4.3," Desserts, Fast Food",₹ 500 for 2 (approx) ,Mohan Nagar, North Nagpur
18,Nanking's,3.6," Chinese, Asian, Seafood","₹ 1,000 for 2 (approx) ",Civil Lines, West Nagpur
19,Nawab's,4," Mughlai, North Indian, Chinese",₹ 800 for 2 (approx) ,Civil Lines, West Nagpur
20,Bougainvillea,4.6, North Indian,"₹ 1,200 for 2 (approx) ","Hotel Centre Point,Ramdaspeth", West Nagpur
21,Roast Cafe,4.8," North Indian, Chinese, Fast Food, Biryani",₹ 600 for 2 (approx) ,Sadar, West Nagpur
22,The Yellow Chilli,4.2," North Indian, Street Food","₹ 1,200 for 2 (approx) ",Untkhana, West Nagpur
23,Hotel Darshan Towers - Amantran Restaurant,3.4," Chinese, North Indian, Fast Food","₹ 1,200 for 2 (approx) ",Gandhibagh, East Nagpur
24,Vyanjanam-The Taste Of India,4.2," Chinese, South Indian, North Indian",₹ 500 for 2 (approx) ,Ramdaspeth, West Nagpur
25,The Locals Bar & Cafe,3.8," North Indian, Italian, Continental, Chinese","₹ 1,000 for 2 (approx) ","AD Complex,Sadar", West Nagpur
26,Food Links,4.3, Fast Food,₹ 500 for 2 (approx) ,"VCA Stadium Complex,Civil Lines", West Nagpur
27,Della Italia,4.6, Desserts,₹ 600 for 2 (approx) ,Civil Lines, West Nagpur
28,M's Repose Restro Lounge,3.3," North Indian, Malvani, Continental, Chinese","₹ 1,500 for 2 (approx) ","Shriram Tower,Sadar", West Nagpur
29,LB's Kitchen,4," North Indian, Mughlai, Chinese",₹ 900 for 2 (approx) ,Sadar, West Nagpur
30,Freakk De Bistro,4.1," Fast Food, Finger Food","₹ 2,000 for 2 (approx) ","Hotel Centre Point,Ramdaspeth", West Nagpur
31,Orbiyo Natural Icecreams,4.1, Desserts,₹ 200 for 2 (approx) ,Sadar, West Nagpur
32,House of Beers,3.5," Finger Food, Chinese, North Indian","₹ 1,500 for 2 (approx) ",Civil Lines, West Nagpur
33,Meeting Point,4.4," North Indian, Chinese, Thai, Continental, Asian","₹ 1,300 for 2 (approx) ","Hotel Centre Point,Ramdaspeth", West Nagpur
34,Juiceb,1.7," Chinese, North Indian, Pizza",₹ 500 for 2 (approx) ,"Empress City Mall,Gandhibagh", East Nagpur
35,Maddtowns Sports Restrobar,3.4," North Indian, Chinese, Fast Food","₹ 1,700 for 2 (approx) ",Mohan Nagar, North Nagpur
36,Pablo - The Art Cafe' Lounge,4.5," North Indian, American, Italian, Continental","₹ 1,200 for 2 (approx) ",Civil Lines, West Nagpur
37,Krishnum Food Plaza,4," North Indian, South Indian, Fast Food, Chinese, Beverages, Desserts",₹ 700 for 2 (approx) ,Sadar, West Nagpur
38,Toast,3.7," Fast Food, Beverages",₹ 500 for 2 (approx) ,Sadar, West Nagpur
39,Tattwam,4.3," South Indian, North Indian",₹ 700 for 2 (approx) ,Ramdaspeth, West Nagpur
40,F&B studio,4.5," Fast Food, Chinese, Beverages",₹ 500 for 2 (approx) ,Dharampeth, West Nagpur
41,Tornados,4, Fast Food,₹ 300 for 2 (approx) ,Civil Lines, West Nagpur
42,Drifters Tap Station,4.5," North Indian, Continental, Chinese, Italian","₹ 1,000 for 2 (approx) ",Ramdaspeth, West Nagpur
43,Tornados,4.2, Fast Food,₹ 300 for 2 (approx) ,Ramdaspeth, West Nagpur
44,Khichadiwala,4.4, Health Food,₹ 400 for 2 (approx) ,Ramdaspeth, West Nagpur
45,ABs - Absolute Barbecues,4.4," North Indian, Chinese","₹ 1,400 for 2 (approx) ",Dharampeth, West Nagpur
46,Hungama Street Cafe,4.2," Chinese, Fast Food",₹ 700 for 2 (approx) ,Dharampeth, West Nagpur
47,Three Beans,4.7," American, Italian, Continental, Desserts",₹ 600 for 2 (approx) ,Dharampeth, West Nagpur
48,Nagpur Adda,1.5, North Indian,"₹ 1,200 for 2 (approx) ",Sitabuldi, Central Nagpur
49,Bighdey Nawab,4.4," Mughlai, North Indian","₹ 1,300 for 2 (approx) ",Nandanvan, East Nagpur
50,Tandoori Chaska,3.9," Chinese, North Indian, Biryani",₹ 700 for 2 (approx) ,Nandanvan, East Nagpur
51,Little Italy,3.4," Italian, North Indian, Chinese, Mexican","₹ 1,400 for 2 (approx) ",Civil Lines, West Nagpur
52,Uptown501,3.6," North Indian, Continental, Asian","₹ 1,100 for 2 (approx) ",Dharampeth, West Nagpur
53,Hotel Amir's Pure Veg Punjabi Restaurant,3.3," Pizza, Biryani, Street Food",₹ 700 for 2 (approx) ,Gandhibagh, East Nagpur
54,Toss Chinese & Barbecue,3.4," Chinese, North Indian",₹ 300 for 2 (approx) ,Ramdaspeth, West Nagpur
55,The Sidewalk Cafe,3.8," Fast Food, Pizza",₹ 500 for 2 (approx) ,Dharampeth, West Nagpur
56,Hitchki,3.3," North Indian, Chinese, Continental","₹ 1,700 for 2 (approx) ",Chhaoni, North Nagpur
57,Step Inn,4.1," North Indian, Chinese","₹ 1,000 for 2 (approx) ",Gokulpeth, West Nagpur
58,Amaira,3.9," Chinese, North Indian","₹ 1,000 for 2 (approx) ","MTDC Building,Civil Lines", West Nagpur
59,Shahi Haandi Kebab & Biryani,5," Mughlai, North Indian",₹ 500 for 2 (approx) ,Gokulpeth, West Nagpur
60,London Bubble Co,4.7, Desserts,₹ 600 for 2 (approx) ,Dharampeth, West Nagpur
61,Radha Krishna By Ram Bhandar,2.5," North Indian, Chinese, Fast Food",₹ 400 for 2 (approx) ,Gandhibagh, East Nagpur
62,Icing On The Cake,3.2," Continental, Beverages, Chinese, Pizza",₹ 900 for 2 (approx) ,Dharampeth, West Nagpur
63,Orbiyo Natural Icecreams,4.4, Desserts,₹ 200 for 2 (approx) ,Dharampeth, West Nagpur
64,Bouffage Cafe & Bistro,5," North Indian, Seafood, Italian, Chinese, Fast Food, Mughlai, Desserts","₹ 1,200 for 2 (approx) ",Dharampeth, West Nagpur
65,Greens Pure Veg Restaurant,5," North Indian, Continental, Chinese","₹ 1,000 for 2 (approx) ",Ravi Nagar, West Nagpur
66,Licksters,3.5, Desserts,₹ 200 for 2 (approx) ,Dharampeth, West Nagpur
67,Italy Via Punjab,4.4," North Indian, Italian, Biryani, Desserts",₹ 800 for 2 (approx) ,Dharampeth, West Nagpur
68,Yamazaki Pan-Asian Cuisine,5," Asian, Sushi, Chinese","₹ 1,000 for 2 (approx) ",Bajaj Nagar, West Nagpur
69,SSD's Swad Ghar Ka,4.3, North Indian,₹ 500 for 2 (approx) ,Bajaj Nagar, West Nagpur
70,Namaste Mexico,5," Mexican, Fast Food, Italian, Pizza",₹ 500 for 2 (approx) ,Nandanvan, East Nagpur
71,The Chocolate Room,4.4," Italian, Fast Food, Pizza, Desserts, Beverages",₹ 600 for 2 (approx) ,Ravi Nagar, West Nagpur
72,The Next Chapter Cafe,4.5," Fast Food, Continental, North Indian, Beverages",₹ 900 for 2 (approx) ,Dharampeth, West Nagpur
73,Mustard Restro Lounge,4.4," North Indian, Chinese, Continental","₹ 1,700 for 2 (approx) ","Vijay Arcade,Dharampeth", West Nagpur
74,Kareem's,5," Mughlai, Chinese, North Indian","₹ 1,300 for 2 (approx) ",Sadar, West Nagpur
75,Hotel Sujal Saoji,4," Maharashtrian, North Indian, Chinese",₹ 600 for 2 (approx) ,Bajaj Nagar, West Nagpur
76,Toss - Cafe And Restro,4.2," Chinese, Fast Food, Italian, Beverages",₹ 800 for 2 (approx) ,Bajaj Nagar, West Nagpur
77,Aww The Cafe Studio,2.4, Fast Food,₹ 600 for 2 (approx) ,Civil Lines, West Nagpur
78,Brewin Cafe,4.8," Fast Food, Desserts, Beverages",₹ 500 for 2 (approx) ,Bajaj Nagar, West Nagpur
79,Salud Restro Lounge,4.5," North Indian, Chinese, Continental, Italian, Mexican","₹ 1,500 for 2 (approx) ",Bajaj Nagar, West Nagpur
80,Cafe Khoka,5," Fast Food, Beverages",₹ 500 for 2 (approx) ,Civil Lines, West Nagpur
81,Mocha,3.9," North Indian, Continental, Fast Food","₹ 1,000 for 2 (approx) ",Dharampeth, West Nagpur
82,Chaat Shaala,4.2," Fast Food, Street Food",₹ 500 for 2 (approx) ,Dharampeth, West Nagpur
83,Smokin Grills,4.5," Fast Food, Pizza",₹ 700 for 2 (approx) ,Bajaj Nagar, West Nagpur
84,The Cafe Barrel,3.9," North Indian, Chinese, Fast Food","₹ 1,100 for 2 (approx) ",Dharampeth, West Nagpur
85,Crostino,3.9," Fast Food, Beverages",₹ 500 for 2 (approx) ,Nandanvan, East Nagpur
86,The Waffle Boss Co.,4.4, Desserts,₹ 300 for 2 (approx) ,Bajaj Nagar, West Nagpur
87,Food Mohalla,5," Italian, Fast Food",₹ 600 for 2 (approx) ,Bajaj Nagar, West Nagpur
88,Deja Brew,4.1, North Indian,"₹ 1,500 for 2 (approx) ","Regenta Central Hotel & Convention Centre,Nandanvan", East Nagpur
89,Mini Punjab,3.3," North Indian, Continental, Chinese",₹ 700 for 2 (approx) ,Dharampeth, West Nagpur
