name,rating,service,No of employees,Company Age,Location
TCS,3.8,IT Services & Consulting , 1 Lakh+ Employees , 55 years old ,Mumbai
Accenture,4.1,IT Services & Consulting , 1 Lakh+ Employees , 34 years old ,Dublin
Cognizant,3.9,IT Services & Consulting , 1 Lakh+ Employees , 29 years old ,Teaneck. New Jersey.
Wipro,3.8,IT Services & Consulting , 1 Lakh+ Employees , 78 years old ,Bangalore/Bengaluru
ICICI Bank,4.0,Banking , 1 Lakh+ Employees , 29 years old ,Mumbai
HDFC Bank,3.9,Banking , 1 Lakh+ Employees , 29 years old ,Mumbai
Infosys,3.9,IT Services & Consulting , 1 Lakh+ Employees , 42 years old ,Bengaluru/Bangalore
Capgemini,3.9,IT Services & Consulting , 1 Lakh+ Employees , 56 years old ,Paris
Tech Mahindra,3.7,IT Services & Consulting , 1 Lakh+ Employees , 37 years old ,Pune
Genpact,4.0,IT Services & Consulting , 50k-1 Lakh Employees , 26 years old ,New York
HCLTech,3.7,IT Services & Consulting , 1 Lakh+ Employees , 32 years old ,Noida
Axis Bank,3.8,Banking , 50k-1 Lakh Employees , 30 years old ,Mumbai
Concentrix Corporation,3.9,BPO , 10k-50k Employees , 40 years old ,Fremont
IBM,4.1,Software Product , 50k-1 Lakh Employees , 112 years old ,Armonk
Amazon,4.2,Internet , 1 Lakh+ Employees , 29 years old ,Seattle
Reliance Jio,4.0,Telecom , 50k-1 Lakh Employees , 16 years old ,Navi Mumbai
Larsen & Toubro Limited,4.0,Engineering & Construction , 1 Lakh+ Employees , 85 years old ,Mumbai
HDB Financial Services,4.0,NBFC , 10k-50k Employees , 16 years old ,Ahmedabad
Reliance Retail,3.9,Retail , 1 Lakh+ Employees , 17 years old ,Navi Mumbai
Teleperformance,3.6,BPO , 10k-50k Employees , 45 years old ,Paris
Vodafone Idea,4.2,Telecom , 10k-50k Employees , 5 years old ,Gandhinagar
Deloitte,4.0,Management Consulting , 50k-1 Lakh Employees , 178 years old ,London
Kotak Mahindra Bank,3.8,Banking , 10k-50k Employees , 20 years old ,Mumbai
BYJU'S,3.2,EdTech , 1k-5k Employees , 12 years old ,Bangalore
Reliance Industries,4.0,Oil & Gas , Public , 46 years old ,Navi Mumbai
Bharti Airtel,4.0,Telecom , 10k-50k Employees , 28 years old ,Gurgaon/Gurugram
Tata Motors,4.2,Automobile , 10k-50k Employees , 78 years old ,Pune
Flipkart,4.1,Internet , 10k-50k Employees , 16 years old ,Bangalore
Ernst & Young,3.7,Accounting & Auditing , 10k-50k Employees , 21 years old ,London
